,palavras,quantidade
0,relatório anual,190
1,cliente,136
2,funcionário,108
3,risco,89
4,milhões,83
5,sustentabilidade,76
6,processo,71
7,produto,59
8,negócio,56
9,atendimento,56
10,meio,56
11,relacionamento,51
12,serviço,51
13,público,50
14,desenvolvimento,49
15,resultado,48
16,investimento,48
17,empresa,45
18,agenda bb,43
19,mercado,43
20,ano,41
21,programa,41
22,governança,38
23,ações,38
24,todo,36
25,índice,36
26,segurança,36
27,unidade,35
28,impacto,35
29,forma,35
30,operações,35
31,carteira,34
32,bilhões,32
33,gestão,32
34,fornecedores,31
35,iniciativa,31
36,percentual,31
37,relevante,31
38,compromisso,30
39,pagamento,29
40,ética,28
41,objetivo,28
42,plano,28
43,quantidade,28
44,política,27
45,modelo,27
46,trabalho,27
47,bb,27
48,desempenho,26
49,capital,26
50,atividade,25
51,fs fs,25
52,estratégia,25
53,consumo,25
54,interesse,25
55,acordo,24
56,responsabilidade socioambiental,24
57,saúde,23
58,anexo gribanco,23
59,tema,23
60,caso,21
61,comitê,21
62,sobre,21
63,qualidade,21
64,governança corporativa,21
65,acionista,21
66,pesquisa,20
67,ambiental social,20
68,fundo,20
69,gênero,20
70,relatório,20
71,indicadores,20
72,sociedade,20
73,código,20
74,princípio,20
75,ca,20
76,governança asg,19
77,base,19
78,canais,19
79,ambientais sociais,19
80,estudo,19
81,sistema,19
82,sociais,19
83,taxa,18
84,abordagem,18
85,informações,18
86,principais,18
87,uso,18
88,sumário,18
89,direitos humanos,18
90,cobertura,17
91,país,17
92,meta,17
93,realizada,17
94,pessoa,17
95,crédito,17
96,prática,17
97,centro oeste,17
98,análise,17
99,atributos ambientais,17
100,treinamento,16
101,norma,16
102,mil,16
103,emissões,16
104,experiência,16
105,economia verde,16
106,número,15
107,gri abordagem,15
108,período,15
109,relação,15
110,socioambientais,15
111,projeto,15
112,crescimento,15
113,bem,15
114,operações realizadas,15
115,contrato,15
116,nacional,15
117,risco socioambiental,15
118,linha,15
119,segmento,15
120,tipo,14
121,norte nordeste,14
122,necessidade,14
123,inclusiva,14
124,propósito descrição,14
125,vida,14
126,social alvo,14
127,aspecto,14
128,demais,14
129,recursos,14
130,investidores,13
131,assuntos polêmicos,13
132,procedimentos,13
133,oportunidade,13
134,estrutura,13
135,aprimorar,13
136,interno,13
137,gerenciamento,13
138,todas,13
139,milhões saldo,13
140,diretrizes,12
141,absenteísmo,12
142,linkomissão externapacto,12
143,ainda,12
144,diversidade,12
145,aumento,12
146,tecnologia,12
147,indicadores gri,12
148,partir,12
149,transações,12
150,agência,12
151,avaliação,12
152,anual produtotipo,12
153,cada,12
154,valor,12
155,relacionado,12
156,cadeia,12
157,fórum,12
158,despesa,12
159,comportamento,12
160,empregado,11
161,meta estabelecida,11
162,ambiental,11
163,outro,11
164,sustentáveis,11
165,melhoria,11
166,engajamento,11
167,ativo,11
168,foco,11
169,aprimoramento,11
170,indicadores relacionados,11
171,conteúdo gribanco,10
172,avaliar,10
173,aumentar,10
174,membros,10
175,lavagem,10
176,agronegócio,10
177,responsabilidade,10
178,criação,10
179,conta,10
180,planejamento,10
181,quais,10
182,carreira,10
183,mudança,10
184,nordeste centro,10
185,demanda,10
186,soluções,10
187,âmbito,10
188,acesso,10
189,canais digitais,10
190,relacionada,10
191,vista,10
192,boas práticas,10
193,sob,10
194,sudeste sul,10
195,oeste sudeste,10
196,dados,9
197,escravo,9
198,desenvolvimento sustentável,9
199,mudanças climáticas,9
200,geral,9
201,lei,9
202,etapa,9
203,preço,9
204,parte,9
205,documento,9
206,regulamento,9
207,auditoria,9
208,papel,9
209,cumprimento,9
210,efeito estufa,9
211,descrição propósito,9
212,negócios sociais,9
213,ciclo,9
214,ações realizadas,9
215,denúncia,9
216,gri constantes,9
217,continuidade,9
218,mulheres,9
219,gerenciamentobanco,9
220,limite,9
221,atributos descrição,9
222,conselho,9
223,contratações,9
224,assim,9
225,tratamento,9
226,sustentabilidadebanco,9
227,aspecto ambiental,8
228,fundo bb,8
229,grau,8
230,pessoas física,8
231,perspectiva,8
232,consumidor,8
233,pessoal,8
234,apoio,8
235,cartões,8
236,sítio,8
237,padrões,8
238,ações compromissos,8
239,gestores,8
240,diferente,8
241,evento,8
242,soluções educacionais,8
243,competência,8
244,reduzir,8
245,gases,8
246,realizado,8
247,considerado,8
248,dezembro,8
249,app,8
250,controles internos,8
251,possibilidade,8
252,conformidade,8
253,análogo,8
254,dow jones,8
255,ouvidoria interna,8
256,igualdade,8
257,sustentabilidade empresarial,8
258,capitaisprincipais ações,8
259,transparência,8
260,indicador apresentação,8
261,presença,8
262,saúde segurança,8
263,prazo indicador,8
264,seguinte,8
265,modo,8
266,materiais,8
267,considerando,8
268,semestre,8
269,ocorrência,8
270,bem estar,8
271,ponto,7
272,melhorar,7
273,decorrente,7
274,referência,7
275,cargo,7
276,formulário,7
277,anos acima,7
278,xgri,7
279,gri standards,7
280,usuário,7
281,categoria,7
282,rotatividade,7
283,coleta seletiva,7
284,bb ações,7
285,impactos econômicos,7
286,longo prazo,7
287,asseguração limitada,7
288,índice dow,7
289,desempenho econômico,7
290,representantes,7
291,diretrizes socioambientais,7
292,consulta,7
293,efetividade,7
294,produtores rurais,7
295,prol,7
296,metodologia,7
297,decisões,7
298,água,7
299,covid,7
300,anual capitaisprincipais,7
301,requisitos,7
302,conselho diretor,7
303,cultura,7
304,regiões,7
305,portfólio,7
306,entidades ligadas,7
307,exemplo,7
308,busca,7
309,participante,7
310,sustentabilidade djsi,7
311,medida,7
312,disponível,7
313,cenário,7
314,representatividade,7
315,clima,7
316,mundo,7
317,valores,7
318,volume,7
319,reconhecidos,7
320,constante,7
321,energia,7
322,corporativa,7
323,auditoria interna,7
324,receita,7
325,economia,7
326,exterior,7
327,garantir,6
328,ambiente,6
329,capacidade,6
330,funcionamento,6
331,dias perdidos,6
332,especializada,6
333,meio ambiente,6
334,social governança,6
335,previdência,6
336,despesas administrativas,6
337,social,6
338,investimento social,6
339,municípios brasileiros,6
340,empreendimento,6
341,destaque,6
342,faixa etária,6
343,empresarial ise,6
344,sustentabilidade bb,6
345,esporte,6
346,satisfação,6
347,compõem,6
348,durante,6
349,suprimento,6
350,capítulo,6
351,área,6
352,nível,6
353,elbb,6
354,podem,6
355,excelência,6
356,acompanhamento,6
357,benefício,6
358,fortalecer,6
359,expectativa,6
360,trabalho infantil,6
361,estratégia corporativa,6
362,sendo,6
363,reconhecimento,6
364,baixo carbono,6
365,tópicos materiaispadrãopágina,6
366,reclamações,6
367,trabalho forçado,6
368,conformidades socioeconômicas,6
369,longo,6
370,setor,6
371,termo,6
372,seguir,6
373,alvo saldo,6
374,assembleia geral,6
375,setor público,6
376,relevância,6
377,raça,6
378,acionário ativo,6
379,equidade,6
380,ccbb,6
381,informações sobre,6
382,contemplando,6
383,agricultura,6
384,reforçar,6
385,níveis hierárquicos,6
386,pronaf,6
387,relato,6
388,controle acionário,6
389,avaliados,6
390,marca,6
391,desenvolvido,6
392,internet,6
393,funcionários abrangidos,6
394,pf,6
395,treinados treinamentos,6
396,executivo,6
397,saldo,6
398,conjunto,6
399,papel transformador,6
400,operacionais,6
401,micro,5
402,independente sobre,5
403,pretos pardos,5
404,desenvolvimento produtivo,5
405,pandemia,5
406,comunidades locais,5
407,contribui,5
408,desde,5
409,passaram,5
410,maior proporcionalidade,5
411,fip,5
412,grande,5
413,auditor independente,5
414,desempenho individual,5
415,portal,5
416,standards constantes,5
417,envolvimento,5
418,instrumento,5
419,enfrentamento,5
420,trilha,5
421,conhecimento,5
422,informações relacionadas,5
